# step Epot T p V 
0 -4685.3494 0.0 6516.2625 23823.124 
5000 -5175.7617 285.4309 -216.6747 23272.8232 
10000 -5111.6582 301.6728 -125.8411 23392.176 
15000 -5197.0709 299.602 151.8671 22731.5598 
20000 -5180.0834 318.6051 -393.3842 23148.1604 
25000 -5156.1001 315.3854 36.9273 22727.0639 
30000 -5223.2743 287.8484 -403.0814 22254.2117 
35000 -5222.5006 293.6533 403.5713 22539.0915 
40000 -5186.6986 303.554 -196.7253 22871.0506 
45000 -5260.9884 300.6835 -592.6037 22729.3839 
50000 -5225.9226 291.8016 202.0632 22626.395 
55000 -5225.1396 296.1672 277.8462 22753.0879 
60000 -5159.3815 298.2586 -264.2629 22815.5662 
65000 -5195.1889 306.0595 -1113.194 23093.5749 
70000 -5220.1596 292.6296 -276.2414 22592.1292 
75000 -5216.4487 302.0164 65.3961 22576.2507 
80000 -5196.8938 298.9175 -86.4937 22688.4906 
85000 -5231.7001 314.7093 280.6173 22624.6748 
90000 -5149.0534 301.1103 -322.8669 22544.6152 
95000 -5183.9898 299.4692 -498.6984 22649.1633 
100000 -5232.6546 290.5498 -154.9831 22578.7894 
105000 -5202.9793 294.2022 630.1288 22601.4069 
110000 -5144.388 307.2055 -284.0348 22924.2878 
115000 -5142.241 289.2784 -12.2866 22430.0333 
120000 -5153.4698 298.6908 -246.4352 22708.1812 
125000 -5219.7021 291.3552 220.5716 22744.9157 
130000 -5203.9689 300.5374 168.1431 22612.8992 
135000 -5184.8967 291.3951 -700.6675 23024.2381 
140000 -5247.6215 296.7636 -608.3476 22690.4593 
145000 -5177.2824 299.6847 -350.7109 22591.0992 
150000 -5202.4991 286.7693 -534.4494 22929.8805 
155000 -5208.9956 293.8645 -563.8266 22550.5721 
160000 -5226.8563 289.8431 -539.2664 22661.6877 
165000 -5237.1519 297.1408 -219.7602 22685.4953 
170000 -5229.56 299.9283 385.3685 22695.5584 
175000 -5188.3988 310.7314 -431.7263 22995.6352 
180000 -5214.3768 292.2195 -349.1595 22554.677 
185000 -5229.0159 290.484 -774.34 22562.5932 
190000 -5172.1592 306.4842 695.236 22576.277 
195000 -5235.474 305.8215 -460.7526 22797.7297 
200000 -5219.1739 293.8818 -375.3946 22696.3062 
205000 -5178.7278 294.0796 123.1473 23093.9153 
210000 -5268.3918 302.0142 -130.6557 22636.5063 
215000 -5178.2004 293.135 338.396 22622.4716 
220000 -5221.4678 296.2836 -729.5744 22503.849 
225000 -5209.6722 313.8769 -25.9671 22683.8786 
230000 -5165.4998 304.6227 -475.2403 22781.6239 
235000 -5206.2917 297.7186 -474.9027 22756.2057 
240000 -5212.9369 296.5417 -291.2023 22908.7863 
245000 -5229.0614 303.2068 -487.7844 22685.9674 
250000 -5226.0802 312.8075 -248.3253 22997.8496 
255000 -5209.8726 299.9081 -990.925 22865.8411 
260000 -5243.7602 292.6565 109.4376 22526.9552 
265000 -5205.4164 302.5084 -22.3106 22507.8106 
270000 -5180.6399 313.7257 -324.1515 23033.0045 
275000 -5242.641 312.0166 -19.2767 22268.0665 
280000 -5198.4992 301.7984 -66.8446 22848.5891 
285000 -5185.093 302.7033 -187.2885 22801.9759 
290000 -5211.148 301.8278 -457.9818 22888.5663 
295000 -5269.9425 322.6272 69.4072 22514.4064 
300000 -5215.4743 301.6735 -175.2392 22443.401 
305000 -5145.668 290.5301 9.2073 22769.2194 
310000 -5163.1528 304.0758 -253.6419 22829.7631 
315000 -5218.1649 303.6826 464.912 22636.3069 
320000 -5229.3183 302.7486 -757.1194 23106.0971 
325000 -5278.2386 300.893 197.5958 22564.9237 
330000 -5216.5252 291.3725 117.2103 22526.526 
335000 -5259.7447 305.2235 -121.4834 22503.8436 
340000 -5226.5009 292.1143 173.4862 22525.1471 
345000 -5248.7075 302.6131 247.7597 22734.9473 
350000 -5168.3737 311.16 -612.5897 22626.3663 
355000 -5223.7602 306.2225 254.2581 22418.321 
360000 -5221.347 295.5792 -139.7439 23019.4372 
365000 -5228.5726 284.4167 -34.1697 22420.7931 
370000 -5196.7074 293.7442 -648.4999 22821.0811 
375000 -5169.4005 304.4405 123.4388 22918.6017 
380000 -5248.0364 282.1016 -1066.7156 22720.4931 
385000 -5228.0088 291.5056 -498.8664 22408.2193 
390000 -5186.5446 303.7679 -791.7377 22691.3932 
395000 -5200.6644 294.5956 -236.0967 22902.6279 
400000 -5211.1435 289.7989 -164.0236 22904.3472 
405000 -5233.1402 289.5889 -62.1324 22576.9364 
410000 -5143.3331 289.4274 -639.0644 23313.8758 
415000 -5171.7404 291.5244 -392.2404 22486.6796 
420000 -5178.9451 314.4449 369.2313 22439.4515 
425000 -5215.5943 305.2935 -124.834 22759.0968 
430000 -5265.5717 290.1733 -456.5661 22499.7032 
435000 -5133.9345 284.8801 -438.797 22857.4074 
440000 -5189.8088 304.2444 223.5039 22627.3696 
445000 -5176.7651 290.2968 -25.0447 22852.2434 
450000 -5227.9245 307.0802 -289.3286 22444.1922 
455000 -5217.2626 295.2146 -837.5793 22659.1237 
460000 -5187.4236 299.4182 -659.662 23284.0906 
465000 -5240.3975 304.2484 -328.5686 22682.1151 
470000 -5169.5518 295.2183 84.5508 22860.1769 
475000 -5165.8359 306.1754 394.8993 22863.9089 
480000 -5192.0415 293.0508 -137.0903 22889.3496 
485000 -5230.3895 300.3588 323.4007 22279.3215 
490000 -5212.1315 306.8736 -438.8711 22655.1812 
495000 -5168.2687 306.2799 -652.6704 23079.4388 
500000 -5161.2406 295.0566 -8.3104 22681.5481 
