ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -5460.6261       775.2767         0.0000         0.0000         0.0000          -4685.3494         0.0000     -4685.3494     -4684.5913         0.0000           6516.2625      6528.3401     23823.1240      6516.2625      6528.3401
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000          -5656.6285       480.8669         0.0000         0.0000       898.4539          -4277.3077       285.4309     -5175.7617     -4276.2939       277.4753           -216.6747      -202.1100     23272.8232      -220.6970      -220.7507
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000          -5573.6659       462.0077         0.0000         0.0000       949.5785          -4162.0796       301.6728     -5111.6582     -4159.1577       297.3235           -125.8411      -102.1559     23392.1760      -105.0067      -104.9394
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000          -5646.2861       449.2152         0.0000         0.0000       943.0604          -4254.0105       299.6020     -5197.0709     -4251.1895       301.0196            151.8671       177.4177     22731.5598      -195.8425      -195.8184
ENERGY:   20000         0.0000         0.0000         0.0000         0.0000          -5575.4911       395.4077         0.0000         0.0000      1002.8765          -4177.2069       318.6051     -5180.0834     -4175.7940       301.0300           -393.3842      -367.9410     23148.1604      -251.4582      -251.5926
ENERGY:   25000         0.0000         0.0000         0.0000         0.0000          -5531.4098       375.3097         0.0000         0.0000       992.7421          -4163.3580       315.3854     -5156.1001     -4160.6999       304.6715             36.9273        61.2082     22727.0639      -232.5324      -232.4343
ENERGY:   30000         0.0000         0.0000         0.0000         0.0000          -5613.2688       389.9945         0.0000         0.0000       906.0635          -4317.2108       287.8484     -5223.2743     -4314.4144       300.5903           -403.0814      -383.6987     22254.2117      -177.2402      -177.0553
ENERGY:   35000         0.0000         0.0000         0.0000         0.0000          -5675.1413       452.6407         0.0000         0.0000       924.3356          -4298.1650       293.6533     -5222.5006     -4294.9231       296.0385            403.5713       428.4071     22539.0915      -207.0521      -207.0598
ENERGY:   40000         0.0000         0.0000         0.0000         0.0000          -5582.1073       395.4086         0.0000         0.0000       955.5000          -4231.1986       303.5540     -5186.6986     -4228.0648       302.7134           -196.7253      -175.8508     22871.0506      -251.6853      -251.6740
ENERGY:   45000         0.0000         0.0000         0.0000         0.0000          -5654.7042       393.7159         0.0000         0.0000       946.4647          -4314.5237       300.6835     -5260.9884     -4311.6031       299.7836           -592.6037      -570.8878     22729.3839      -207.5775      -207.5761
ENERGY:   50000         0.0000         0.0000         0.0000         0.0000          -5649.9505       424.0280         0.0000         0.0000       918.5069          -4307.4157       291.8016     -5225.9226     -4304.7684       294.5223            202.0632       236.3292     22626.3950      -186.8750      -186.9067
ENERGY:   55000         0.0000         0.0000         0.0000         0.0000          -5665.2029       440.0632         0.0000         0.0000       932.2486          -4292.8910       296.1672     -5225.1396     -4291.7971       297.5968            277.8462       302.5766     22753.0879      -254.6021      -254.5856
ENERGY:   60000         0.0000         0.0000         0.0000         0.0000          -5558.1517       398.7702         0.0000         0.0000       938.8318          -4220.5498       298.2586     -5159.3815     -4218.9832       303.5007           -264.2629      -248.9338     22815.5662      -191.3023      -191.1762
ENERGY:   65000         0.0000         0.0000         0.0000         0.0000          -5538.8634       343.6745         0.0000         0.0000       963.3867          -4231.8021       306.0595     -5195.1889     -4229.2872       302.3628          -1113.1940     -1090.2388     23093.5749      -224.4397      -224.5824
ENERGY:   70000         0.0000         0.0000         0.0000         0.0000          -5610.3879       390.2283         0.0000         0.0000       921.1133          -4299.0463       292.6296     -5220.1596     -4296.8382       299.6112           -276.2414      -266.6100     22592.1292      -246.8597      -246.7340
ENERGY:   75000         0.0000         0.0000         0.0000         0.0000          -5634.0953       417.6465         0.0000         0.0000       950.6602          -4265.7885       302.0164     -5216.4487     -4263.4247       296.5196             65.3961        79.6923     22576.2507      -198.7256      -198.5581
ENERGY:   80000         0.0000         0.0000         0.0000         0.0000          -5618.8259       421.9322         0.0000         0.0000       940.9058          -4255.9880       298.9175     -5196.8938     -4252.7324       298.7365            -86.4937       -59.8768     22688.4906      -211.6661      -211.6544
ENERGY:   85000         0.0000         0.0000         0.0000         0.0000          -5665.3518       433.6517         0.0000         0.0000       990.6139          -4241.0862       314.7093     -5231.7001     -4238.9095       300.5511            280.6173       314.5265     22624.6748      -211.9932      -212.0927
ENERGY:   90000         0.0000         0.0000         0.0000         0.0000          -5500.2875       351.2341         0.0000         0.0000       947.8082          -4201.2452       301.1103     -5149.0534     -4199.5719       304.2932           -322.8669      -316.4258     22544.6152      -225.3484      -225.4329
ENERGY:   95000         0.0000         0.0000         0.0000         0.0000          -5528.4590       344.4692         0.0000         0.0000       942.6424          -4241.3474       299.4692     -5183.9898     -4239.3574       305.8252           -498.6984      -478.2938     22649.1633      -201.8795      -201.9600
ENERGY:  100000         0.0000         0.0000         0.0000         0.0000          -5634.6590       402.0045         0.0000         0.0000       914.5665          -4318.0880       290.5498     -5232.6546     -4316.5441       295.7573           -154.9831      -139.2613     22578.7894      -258.9710      -259.0685
ENERGY:  105000         0.0000         0.0000         0.0000         0.0000          -5643.7408       440.7615         0.0000         0.0000       926.0633          -4276.9160       294.2022     -5202.9793     -4274.5012       300.2826            630.1288       644.5917     22601.4069      -236.6048      -236.6256
ENERGY:  110000         0.0000         0.0000         0.0000         0.0000          -5541.3196       396.9316         0.0000         0.0000       966.9941          -4177.3940       307.2055     -5144.3880     -4173.9869       300.6961           -284.0348      -252.9721     22924.2878      -216.1676      -216.1081
ENERGY:  115000         0.0000         0.0000         0.0000         0.0000          -5517.3217       375.0807         0.0000         0.0000       910.5647          -4231.6762       289.2784     -5142.2410     -4229.6673       304.8270            -12.2866        15.8117     22430.0333      -131.5905      -131.6314
ENERGY:  120000         0.0000         0.0000         0.0000         0.0000          -5529.3936       375.9238         0.0000         0.0000       940.1921          -4213.2777       298.6908     -5153.4698     -4211.4163       298.3495           -246.4352      -219.1475     22708.1812      -211.3182      -211.2963
ENERGY:  125000         0.0000         0.0000         0.0000         0.0000          -5651.7928       432.0907         0.0000         0.0000       917.1020          -4302.6001       291.3552     -5219.7021     -4300.1815       298.2851            220.5716       245.8942     22744.9157      -239.0698      -239.0491
ENERGY:  130000         0.0000         0.0000         0.0000         0.0000          -5608.2150       404.2461         0.0000         0.0000       946.0048          -4257.9640       300.5374     -5203.9689     -4256.3178       296.1912            168.1431       180.7975     22612.8992      -208.1118      -208.1241
