# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 0
80 0 0
90 0 0
100 0 0
110 0 0
120 0 0
130 0 0
140 0 0
150 0 0
160 0 0
170 0 0
180 0 0
190 0 0
200 0 1
210 0 1
220 0 2
230 0 2
240 0 2
250 0 2
260 0 2
270 0 3
280 0 3
290 0 3
300 0 3
310 0 3
320 0 4
330 0 4
340 0 4
350 0 4
360 0 4
370 0 4
380 0 4
390 0 4
400 0 4
410 1 4
420 1 4
430 1 4
440 1 4
450 1 4
460 1 4
470 1 4
480 1 4
490 1 4
500 1 4
510 1 4
520 1 7
530 1 9
540 1 9
550 1 9
560 1 9
570 1 9
580 1 10
590 1 10
600 1 10
610 1 10
620 1 10
630 2 10
640 2 10
650 2 10
660 2 10
670 3 10
680 3 10
690 3 10
700 3 10
710 4 10
720 6 10
730 6 10
740 6 10
750 6 10
760 6 10
770 6 10
780 6 10
790 6 10
800 6 10
810 6 10
820 6 11
830 6 11
840 6 11
850 6 11
860 6 11
870 6 11
880 6 11
890 6 11
900 7 11
910 7 12
920 7 13
930 7 13
940 7 13
950 7 13
960 7 13
970 8 13
980 8 13
990 8 13
1000 8 13
